ID,Set,English,English_Strict,Spanish,Portuguese,French
afternoon1,,afternoon,,tarde,tarde,après-midi
afternoon2,,afternoon@,,,,
later1,FUNCT,later,,más tarde,mais tarde,plus tard
later2,,later@,,,,
river1,TG200,river,,rio,rio,"rivière, fleuve"
river2,,river@,,,,
water1,TG100,water,,agua,água,eau
water2,,water@,,,,
rain1,TG100,rain,,lluvia,chuva,pluie
rain2,,rain@,,,,
lake1,TG200,lake,,lago (cocha),lago,"lac, mare"
lake2,,lake@,,,,
stream1,,stream,,"quebrada, arroyo (riachuelo)","riacho, ribeiro",ruisseau
stream2,,stream@,,,,
shore1,,"shore, bank","river shore~river bank, orilla, margem (do río)","orilla (banda, margen)","costa, margem (ribanceira)","bord, berge"
shore2,,"shore, bank@",,,,
forest1,TG200,forest (jungle),,selva (bosque),mato,forêt
forest2,,forest (jungle)@,,,,
root1,TG100,root,,raíz,raiz,racine
root2,,root@,,,,
tree1,TG100,tree,,árbol ,árvore,arbre
tree2,,tree@,,,,
branch1,,branch,,rama,"ramo, galho",branche
branch2,,branch@,,,,
bark1,TG100,bark,,corteza,casca de ávore,écorce
bark2,,bark@,,,,
trunk1,TG200,trunk,,tronco,tronco,tronc
trunk2,,trunk@,,,,
flower1,TG200,flower,,flor,flor,fleur
flower2,,flower@,,,,
leaf1,TG100,leaf,,hoja,folha,feuille
leaf2,,leaf@,,,,
bamboo1,PLANT,bamboo,things glossed as caña are strict,"bambú, caña",bambu,bambou
bamboo2,,bamboo@,,,,
grass1,TG200,grass,,hierba,"capim, grama, gramado",herbe
grass2,,grass@,,,,
weed1,,weed,,maleza,erva daninha,mauvaise herbe
weed2,,weed@,,,,
vine1,PLANT,vine,,soga,cipó,"liane, plante grimpante"
vine2,,vine@,,,,
land1,TG100,"land, ground, earth","earth (i.e. soil), tierra, terra",tierra,terra,terre
land2,,"land, ground, earth@",,,,
island1,,island,,isla,ilha,île
shadow1,,"shadow, shade","shadow, sombra, sombra",sombra,sombra,ombre
shadow2,,"shadow, shade@",,,,
mud1,,mud,,"barro (barreal, fango)",lama,"boue, vase"
mud2,,mud@,,,,
dirt1,,dirt,,suciedad,sujeira,"saleté, crasse"
dirt2,,dirt@,,,,
dust1,,dust,,polvo,poeira,poussière
dust2,,dust@,,,,
sand1,,sand,,arena,areia,sable
sand2,,sand@,,,,
cotton1,"PLANT, ARTIFACT",cotton,,algodón,algodão,coton
cotton2,,cotton@,,,,
cloud1,TG100,cloud,,nube,nuvem,nuage
cloud2,,cloud@,,,,
thunder1,TG100,thunder,Both nouns and verbs,"trueno, tronar","trovão, trovejar","tonnerre, tonner"
thunder2,,thunder@,,,,
sky1,TG200,sky,,cielo,céu,ciel
sky2,,sky@,,,,
sun1,TG100,sun,,sol,sol,soleil
sun2,,sun@,,,,
moon1,TG100,moon,,luna,lua,lune
moon2,,moon@,,,,
star1,TG100,star,,estrella,estrela,étoile
star2,,star@,,,,
Pleiades1,,Pleiades,,Pléyades,Pleiades,Pléiades
Pleiades2,,Pleiades@,,,,
seed1,TG100,seed ,,semilla,semente,graine
seed2,,seed@,,,,
stone1,TG100,"stone, rock",,piedra (roca),pedra (rocha),pierre
stone2,,"stone, rock@",,,,
wind1,TG200,wind,,viento,vento,vent
wind2,,wind@,,,,
hill1,,hill,,colina (altura),"morro, colina",colline
hill2,,hill@,,,,
cutbank1,,"cutbank, cliff, bluff",,"barranco, acantilado, precipicio","barranco, penhasco, falésia","falaise, escarpement"
hole1,,hole,,hueco,buraco,trou
hole2,,hole@,,,,
candela1,"TG100, ARTIFACT",candela,,fuego (candela),fogo,feu
candela2,,candela@,,,,
ashes1,TG100,ashes,,cenizas,cinza,cendre
ashes2,,ashes@,,,,
smoke1,TG100,smoke (n.),,humo,fumaça,fumée
smoke2,,smoke (n.)@,,,,
sap1,ARTIFACT,sap (resin),,resina (brea),seiva (resina),sève
sap2,,sap (resin)@,,,,
canoe1,ARTIFACT,canoe,,canoa,canoa,canot
canoe2,,canoe@,,,,
prow1,ARTIFACT,prow,,proa,proa,proue
prow2,,prow@,,,,
hammock1,"TG100, ARTIFACT",hammock,,hamaca,rede,hamac
hammock2,,hammock@,,,,
