ID,Language_ID,Phonemic,Phonetic,Orthographic,Variants,Form_Comment,Source,Procedural_Comment,Procedural_Comment_Concept,Concept_ID
kayabi1_rub1_1,kayabi1,,,<-yyp>,,(trans 1),kayabi1{2},,,rub1
apiaka1_rub1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,rub1
parintintin1_rub1_1,parintintin1,,,<-hyv>,,,parintintin1{1},,,rub1
kamayura1_rub1_1,kamayura1,,,<pin>,,,kamayura1{1},Keep: <kɨtɨk> ,,rub1
kamayura1_rub1_2,kamayura1,,,<kɨtɨk>,,(esfregar),kamayura1{12},Keep: <kɨtɨk> ,,rub1
wayampi1_rub1_1,wayampi1,/ɔ-kusu/,,,,"(laver, frotter pour nettoyer)",wayampi1{1},keep kusu,,rub1
wayampi1_rub1_2,wayampi1,/ɔ-mɔkusu/,,,,"(frotter, gratter)",wayampi1{1},keep kusu,,rub1
wayampi1_rub1_3,wayampi1,/(-y-)kusu/,,,,(se frotter pour se nettoyer),wayampi1{1},keep kusu,,rub1
wayampi1_rub1_4,wayampi1,/ɔ-ɛɨy/,,,,"(gratter, frotter)",wayampi1{1},keep kusu,,rub1
teko1_rub1_1,teko1,,,<- pɨkɨkɨlɨg>,,(with reduplication),teko1{7},,,rub1
teko1_rub1_2,teko1,/pɨkɨɾɨg/,,,,,teko1{11},,,rub1
urubu_kaapor1_rub1_1,urubu_kaapor1,/kɨtɨk/,,,,,urubu_kaapor1{1},,,rub1
guaja1_rub1_1,guaja1,,[kʰɨˈts̆i],,,,guaja1{3},,,rub1
aweti1_rub1_1,aweti1,,,<pizyp>,,,aweti1{8},,,rub1
satere_mawe1_rub1_1,satere_mawe1,/kɨsɨk/,,,,,satere_mawe1{4},,,rub1
tapiete1_rub2_1,tapiete1,,[kɨtɨ2],<kɨtɨ2>,,"(to scrub; to scrape; to rub, fregar; raspar; untar)",tapiete1{1},,,rub2
yuqui1_rub2_1,yuqui1,,,<uji>,,"(rub off, wear off, come off)",yuqui1{2},,,rub2
tocantins_asurini1_rub2_1,tocantins_asurini1,,,<okýtyn>,,(grate),tocantins_asurini1{1},,,rub2
tocantins_asurini1_rub2_2,tocantins_asurini1,,,<-pín>,,"(raspar, pelar, tirar pelo)",tocantins_asurini1{3},,,rub2
tembe1_rub2_1,tembe1,,,<hĭw>,,"(esfregar, limpar)",tembe1{1},,,rub2
tembe1_rub2_2,tembe1,,,<pin>,,"(arranhar, raspar)",tembe1{1},,,rub2
guajajara1_rub2_1,guajajara1,,,<ukytykytyk>,,"(esfregar, esfregar alguma coisa para secar)",guajajara1{1},,,rub2
kamayura1_rub2_1,kamayura1,,,<umirik>,,(amassar),kamayura1{1},,,rub2
aweti1_rub2_1,aweti1,,,<pitiʼe>,,,aweti1{8},,,rub2
ache1_scrape1_1,ache1,/ʤupi1/,[ʤu.'pi1],,,(raspar),ache1{4},,,scrape1
ache1_scrape1_2,ache1,/dɨɾɨ/,[dɨ.'ɾɨ],,,(raspar para madera),ache1{4},,,scrape1
ache1_scrape1_3,ache1,/ǰũpĩ/,,,,(scrape),ache1{1},,,scrape1
paraguayan_guarani1_scrape1_1,paraguayan_guarani1,,,<(ai)popĩ>,,(raspar),paraguayan_guarani1{1},Keep: <(ai)karãi>,,scrape1
paraguayan_guarani1_scrape1_2,paraguayan_guarani1,,,<(a)hai>,,(arañar),paraguayan_guarani1{1},Keep: <(ai)karãi>,,scrape1
paraguayan_guarani1_scrape1_3,paraguayan_guarani1,,,<(ai)karãi>,,(rasguñar),paraguayan_guarani1{1},Keep: <(ai)karãi>,,scrape1
kaiwa1_scrape1_1,kaiwa1,No value,No value,No value,,No value,kaiwa1No value,,,scrape1
mbya_guarani1_scrape1_1,mbya_guarani1,,,<-karaĩ>,,"(arranhar, coçar)",mbya_guarani1{1},Keep: <-karaĩ>,,scrape1
mbya_guarani1_scrape1_2,mbya_guarani1,,,<-py eja>,,(arranhar),mbya_guarani1{1},Keep: <-karaĩ>,,scrape1
chiripa1_scrape1_1,chiripa1,,[eʔɨj],,,(coçar),chiripa1{3},,,scrape1
xeta1_scrape1_1,xeta1,,[kæɾãj],,,(arranhar),xeta1{1},,,scrape1
tapiete1_scrape1_1,tapiete1,,[pémpi],<pempi>,,"(to scrape, raspar; afeitar; rallar)",tapiete1{1},"keep: <kärë>[kãɾẽ; kãrɨ̃](to scratch, arañar, rascar)",,scrape1
eastern_bolivian_guarani1_scrape1_1,eastern_bolivian_guarani1,/kãri/,,,,(scrape),eastern_bolivian_guarani1{1},,,scrape1
guarayu1_scrape1_1,guarayu1,,,<cãrãĩ>,,"(kratzen, schaben, hoblen)",guarayu1{2},,,scrape1
guarayu1_scrape1_2,guarayu1,/eɲe'kaɾai/,,,,,guarayu1{1},,,scrape1
siriono1_scrape1_1,siriono1,,,<sabɨ>,~<seɨ>,(raspar),siriono1{1},Keep: <sabɨ ~ seɨ>,,scrape1
siriono1_scrape1_2,siriono1,,,<ɨshã>,~<aɨshã>,(arañar),siriono1{1},Keep: <sabɨ ~ seɨ>,,scrape1
yuqui1_scrape1_1,yuqui1,,,<chiri ti na i>,,"((pre-verb) scratch, scrape (as tree limb))",yuqui1{2},keep chiriri,,scrape1
yuqui1_scrape1_2,yuqui1,,,<iajĩĩ>,,(scrape),yuqui1{2},keep chiriri,,scrape1
yuqui1_scrape1_3,yuqui1,,,<chiriri i>,,((pre-verb) scratch (as bug bites)),yuqui1{2},keep chiriri,,scrape1
yuqui1_scrape1_4,yuqui1,,,<emibe>,,"(scratch, irritate)",yuqui1{2},keep chiriri,,scrape1
yuqui1_scrape1_5,yuqui1,,,<eyequiãnãnãi>,,(to scratch oneself (scratch yourself)),yuqui1{2},keep chiriri,,scrape1
yuqui1_scrape1_6,yuqui1,,,<ojẽjẽ>,,"((with rese) irritate, scratch, cause rash)",yuqui1{2},keep chiriri,,scrape1
jora1_scrape1_1,jora1,No value,No value,No value,,No value,jora1No value,,,scrape1
warazu1_scrape1_1,warazu1,,,<-kə́rəɨ>,,(to scratch),warazu1{9},,,scrape1
warazu1_scrape1_2,warazu1,,,<-héʔi>,,(to scratch),warazu1{9},,,scrape1
warazu1_scrape1_3,warazu1,,,<-eʔéɨre>,,(to scratch),warazu1{9},,,scrape1
omagua1_scrape1_1,omagua1,/kaɾai/,,,,"(scratch, scrape)",omagua1{1},,,scrape1
cocama_cocamilla1_scrape1_1,cocama_cocamilla1,,[kaɾɨ],,~[kaɾi],(KLL),cocama_cocamilla1{2},,,scrape1
tupinamba1_scrape1_1,tupinamba1,,,<carãia>,,"(raspar, arranhar)",tupinamba1{1},Keep: <carãia>,,scrape1
tupinamba1_scrape1_2,tupinamba1,,,<pina>,,"(jo) (raspar, lavrar)",tupinamba1{2},Keep: <carãia>,,scrape1
tapirape1_scrape1_1,tapirape1,,,<ehỹj>,,(arranhar),tapirape1{1},,,scrape1
tocantins_asurini1_scrape1_1,tocantins_asurini1,,,<karýj>,,(Ia) (arranhar),tocantins_asurini1{3},,,scrape1
parakana1_scrape1_1,parakana1,,,<piram>,,(coçar),parakana1{1},Keep: <xe'yi>,,scrape1
parakana1_scrape1_2,parakana1,,,<xe'yi>,,(coçar),parakana1{1},Keep: <xe'yi>,,scrape1
parakana1_scrape1_3,parakana1,,,<oxeapin>,,(ele raspou todo o cabelo),parakana1{1},Keep: <xe'yi>,,scrape1
canoeiro1_scrape1_1,canoeiro1,,,<kaʁaj>,,"(arranhar, coçar)",canoeiro1{1},,,scrape1
tembe1_scrape1_1,tembe1,,,<käräy>,,,tembe1{1},,,scrape1
tembe1_scrape1_2,tembe1,,,<têmo>,,"(pruir, coçar)",tembe1{1:1: 259},,,scrape1
guajajara1_scrape1_1,guajajara1,,,<ukàràz>,,"(arranhar, coçar, capinar com enxada ou ciscador)",guajajara1{1},"Keep: <ukàràz>(arranhar, coçar, capinar com enxada ou ciscador)",,scrape1
guajajara1_scrape1_2,guajajara1,,,<umuzuhar>,,(fazer coçar),guajajara1{1},"Keep: <ukàràz>(arranhar, coçar, capinar com enxada ou ciscador)",,scrape1
guajajara1_scrape1_3,guajajara1,,,<ukàràz>,,(coçar),guajajara1{1},"Keep: <ukàràz>(arranhar, coçar, capinar com enxada ou ciscador)",,scrape1
guajajara1_scrape1_4,guajajara1,,,<uzuhar>,,(coçar),guajajara1{1},"Keep: <ukàràz>(arranhar, coçar, capinar com enxada ou ciscador)",,scrape1
guajajara1_scrape1_5,guajajara1,,,<uzekàràz>,,(coçar-se),guajajara1{1},"Keep: <ukàràz>(arranhar, coçar, capinar com enxada ou ciscador)",,scrape1
turiwara1_scrape1_1,turiwara1,No value,No value,No value,,No value,turiwara1No value,,,scrape1
anambe1_scrape1_1,anambe1,,,<kyty>,,(râper),anambe1{1},,,scrape1
arawete1_scrape1_1,arawete1,,,<eʔi>,,(coçar),arawete1{1},keep: <eʔi> (coçar),,scrape1
arawete1_scrape1_2,arawete1,,,<aʔaʔa>,,(arranhar),arawete1{1},keep: <eʔi> (coçar),,scrape1
